iter	Passed	Remaining
0	127	127801
1	131	65514
2	138	46107
3	144	36068
4	152	30347
5	156	25866
6	158	22551
7	163	20215
8	167	18437
9	171	16930
10	174	15697
11	179	14775
12	183	13899
13	186	13145
14	191	12553
15	194	11934
16	196	11374
17	200	10914
18	202	10466
19	204	10024
20	209	9760
21	211	9396
22	212	9042
23	213	8700
24	214	8374
25	216	8097
26	217	7842
27	219	7614
28	221	7408
29	223	7219
30	225	7040
31	226	6863
32	228	6687
33	229	6517
34	230	6354
35	231	6200
36	232	6055
37	234	5924
38	235	5792
39	236	5679
40	238	5569
41	239	5458
42	240	5348
43	241	5241
44	242	5138
45	243	5051
46	244	4956
47	245	4878
48	246	4787
49	247	4704
50	248	4624
51	249	4555
52	251	4493
53	253	4437
54	254	4371
55	255	4312
56	257	4252
57	257	4189
58	259	4131
59	259	4072
60	260	4016
61	261	3963
62	262	3910
63	263	3858
64	265	3817
65	266	3774
66	268	3732
67	269	3688
68	270	3643
69	270	3599
70	272	3560
71	273	3520
72	273	3478
73	274	3440
74	275	3401
75	276	3363
76	277	3325
77	278	3288
78	279	3252
79	280	3223
80	281	3192
81	282	3161
82	282	3124
83	283	3092
84	284	3061
85	284	3028
86	285	2997
87	286	2966
88	287	2938
89	287	2909
90	288	2880
91	288	2852
92	289	2824
93	290	2798
94	290	2771
95	291	2746
96	292	2721
97	292	2696
98	293	2671
99	294	2647
100	295	2631
101	296	2613
102	297	2592
103	298	2570
104	299	2548
105	299	2526
106	300	2505
107	300	2484
108	301	2463
109	301	2442
110	302	2422
111	303	2403
112	303	2384
113	304	2365
114	304	2346
115	305	2328
116	305	2308
117	306	2291
118	307	2274
119	307	2256
120	308	2239
121	308	2222
122	309	2206
123	310	2196
124	311	2182
125	312	2169
126	313	2155
127	315	2146
128	316	2133
129	316	2119
130	317	2105
131	317	2090
132	318	2076
133	319	2063
134	319	2049
135	320	2035
136	321	2022
137	321	2008
138	322	1996
139	322	1982
140	323	1971
141	324	1958
142	324	1945
143	326	1938
144	327	1929
145	328	1919
146	328	1907
147	329	1896
148	330	1884
149	330	1873
150	331	1862
151	331	1851
152	332	1840
153	333	1829
154	333	1818
155	334	1808
156	334	1798
157	335	1788
158	336	1777
159	336	1767
160	337	1759
161	338	1749
162	339	1740
163	339	1731
164	341	1726
165	342	1718
166	343	1711
167	343	1702
168	344	1693
169	344	1683
170	345	1675
171	346	1666
172	346	1657
173	347	1648
174	347	1640
175	348	1631
176	349	1623
177	349	1614
178	350	1607
179	351	1599
180	351	1591
181	352	1583
182	352	1575
183	353	1567
184	354	1560
185	354	1552
186	355	1546
187	356	1539
188	357	1533
189	358	1526
190	358	1519
191	359	1513
192	360	1507
193	361	1500
194	361	1493
195	362	1486
196	362	1479
197	363	1472
198	364	1466
199	364	1459
